claim_id,taxpayer_id,claim_date,refund_period_start,refund_period_end,input_vat_claimed,output_vat_paid,net_refund_amount,claim_status,processing_days,submitted_by,supporting_docs_count,previous_refunds_count,sector
CLM00010201,TPIN1000000201,2024-10-21,2024-06-30,2024-09-29,10614,9759,855,Under Review,19,Tax Agent,17,2,Import/Export
CLM00010202,TPIN1000000202,2024-10-23,2024-06-30,2024-09-29,111685,97152,14533,Query Raised,42,Taxpayer,9,6,Professional Services
CLM00010203,TPIN1000000203,2024-08-01,2024-04-30,2024-07-30,98996,96104,2892,Query Raised,6,Tax Agent,19,5,Import/Export
CLM00010204,TPIN1000000204,2024-04-09,2023-12-31,2024-03-30,4720,4035,684,Query Raised,90,Taxpayer,8,9,Manufacturing
CLM00010205,TPIN1000000205,2024-05-22,2024-01-31,2024-04-29,5990,7172,0,Under Review,80,Taxpayer,8,1,Real Estate
CLM00010206,TPIN1000000206,2024-03-11,2023-11-30,2024-02-28,175379,194617,0,Query Raised,36,Tax Agent,7,0,Agriculture
CLM00010207,TPIN1000000207,2024-08-02,2024-04-30,2024-07-30,202468,169707,32761,Approved,85,Tax Agent,9,5,Construction
CLM00010208,TPIN1000000208,2024-02-28,2023-10-31,2024-01-30,13459,14136,0,Under Review,6,Tax Agent,16,3,ICT
CLM00010209,TPIN1000000209,2024-08-01,2024-04-30,2024-07-30,37156,38421,0,Under Review,44,Tax Agent,15,6,Healthcare
CLM00010210,TPIN1000000210,2024-01-12,2023-09-30,2023-12-30,12511,13593,0,Query Raised,3,Tax Agent,18,5,Construction
CLM00010211,TPIN1000000211,2024-04-26,2023-12-31,2024-03-30,15794,19242,0,Under Review,52,Taxpayer,7,0,Wholesale
CLM00010212,TPIN1000000212,2024-12-21,2024-08-31,2024-11-29,39827,35302,4525,Query Raised,77,Tax Agent,15,8,Education
CLM00010213,TPIN1000000213,2024-07-26,2024-03-31,2024-06-29,3598,3397,202,Query Raised,84,Tax Agent,18,4,Mining
CLM00010214,TPIN1000000214,2024-09-10,2024-05-31,2024-08-30,8599,8371,228,Under Review,24,Tax Agent,5,8,Education
CLM00010215,TPIN1000000215,2024-11-18,2024-07-31,2024-10-30,1457,1665,0,Approved,32,Taxpayer,5,7,ICT
CLM00010216,TPIN1000000216,2024-07-01,2024-03-31,2024-06-29,161037,169715,0,Pending,60,Tax Agent,15,1,Transport
CLM00010217,TPIN1000000217,2023-12-31,2023-09-30,2023-12-30,3241,3078,164,Under Review,26,Taxpayer,11,8,Hospitality
CLM00010218,TPIN1000000218,2024-08-16,2024-04-30,2024-07-30,162431,158336,4095,Under Review,8,Taxpayer,17,1,Wholesale
CLM00010219,TPIN1000000219,2024-04-02,2023-12-31,2024-03-30,207039,192979,14060,Under Review,49,Tax Agent,10,7,Healthcare
CLM00010220,TPIN1000000220,2024-05-05,2024-01-31,2024-04-29,14219,16285,0,Under Review,81,Tax Agent,9,6,Hospitality
CLM00010221,TPIN1000000221,2024-11-19,2024-07-31,2024-10-30,23069,23843,0,Approved,16,Tax Agent,19,9,Import/Export
CLM00010222,TPIN1000000222,2024-07-13,2024-03-31,2024-06-29,21307,17924,3384,Pending,16,Tax Agent,19,9,Agriculture
CLM00010223,TPIN1000000223,2024-12-14,2024-08-31,2024-11-29,176879,166846,10032,Approved,74,Tax Agent,17,5,Mining
CLM00010224,TPIN1000000224,2024-09-06,2024-05-31,2024-08-30,62797,52368,10429,Pending,72,Tax Agent,18,5,Wholesale
CLM00010225,TPIN1000000225,2024-11-26,2024-07-31,2024-10-30,113921,126215,0,Under Review,15,Tax Agent,6,9,Real Estate
CLM00010226,TPIN1000000226,2024-08-25,2024-04-30,2024-07-30,19965,17380,2585,Under Review,9,Taxpayer,7,1,Mining
CLM00010227,TPIN1000000227,2024-12-13,2024-08-31,2024-11-29,157956,165988,0,Query Raised,53,Taxpayer,13,3,Construction
CLM00010228,TPIN1000000228,2024-08-12,2024-04-30,2024-07-30,44325,38453,5872,Pending,13,Taxpayer,14,3,Agriculture
CLM00010229,TPIN1000000229,2024-05-22,2024-01-31,2024-04-29,28878,27443,1435,Approved,49,Tax Agent,18,9,Manufacturing
CLM00010230,TPIN1000000230,2024-07-20,2024-03-31,2024-06-29,30686,34866,0,Approved,3,Tax Agent,19,3,Import/Export
CLM00010231,TPIN1000000231,2024-04-09,2023-12-31,2024-03-30,27454,33696,0,Approved,54,Taxpayer,8,4,Import/Export
CLM00010232,TPIN1000000232,2024-07-31,2024-04-30,2024-07-30,18763,19614,0,Approved,81,Tax Agent,9,6,Agriculture
CLM00010233,TPIN1000000233,2024-10-31,2024-07-31,2024-10-30,19043,16945,2098,Under Review,67,Tax Agent,17,2,Agriculture
CLM00010234,TPIN1000000234,2024-01-12,2023-09-30,2023-12-30,57452,52756,4696,Under Review,17,Tax Agent,16,2,ICT
CLM00010235,TPIN1000000235,2024-03-23,2023-11-30,2024-02-28,15732,14199,1534,Query Raised,20,Tax Agent,9,0,Import/Export
CLM00010236,TPIN1000000236,2024-04-03,2023-12-31,2024-03-30,114566,123192,0,Approved,4,Taxpayer,11,6,Education
CLM00010237,TPIN1000000237,2024-03-30,2023-11-30,2024-02-28,49651,42117,7534,Under Review,12,Tax Agent,7,0,ICT
CLM00010238,TPIN1000000238,2024-04-20,2023-12-31,2024-03-30,39216,42248,0,Pending,86,Taxpayer,17,3,ICT
CLM00010239,TPIN1000000239,2024-01-25,2023-09-30,2023-12-30,118570,134058,0,Query Raised,28,Tax Agent,11,7,Manufacturing
CLM00010240,TPIN1000000240,2024-10-05,2024-06-30,2024-09-29,115631,114646,984,Pending,16,Tax Agent,10,4,Import/Export
CLM00010241,TPIN1000000241,2024-01-04,2023-09-30,2023-12-30,32645,37390,0,Query Raised,13,Taxpayer,13,7,Real Estate
CLM00010242,TPIN1000000242,2024-12-10,2024-08-31,2024-11-29,4288,3635,653,Pending,26,Tax Agent,17,2,Hospitality
CLM00010243,TPIN1000000243,2024-12-18,2024-08-31,2024-11-29,108490,99079,9412,Approved,1,Taxpayer,9,8,Construction
CLM00010244,TPIN1000000244,2024-04-12,2023-12-31,2024-03-30,93352,95681,0,Under Review,32,Tax Agent,17,4,Mining
CLM00010245,TPIN1000000245,2024-03-02,2023-11-30,2024-02-28,26569,29465,0,Query Raised,56,Tax Agent,8,9,Import/Export
CLM00010246,TPIN1000000246,2024-06-07,2024-02-29,2024-05-30,25150,21974,3177,Query Raised,31,Tax Agent,12,6,Real Estate
CLM00010247,TPIN1000000247,2024-01-24,2023-09-30,2023-12-30,214852,199315,15537,Pending,67,Tax Agent,18,3,Agriculture
CLM00010248,TPIN1000000248,2024-08-12,2024-04-30,2024-07-30,6333,5435,898,Under Review,26,Tax Agent,17,3,Import/Export
CLM00010249,TPIN1000000249,2024-12-17,2024-08-31,2024-11-29,10570,12836,0,Under Review,87,Tax Agent,6,8,ICT
CLM00010250,TPIN1000000250,2024-11-04,2024-07-31,2024-10-30,85943,73511,12432,Pending,2,Tax Agent,7,5,Education
CLM00010251,TPIN1000000251,2023-12-31,2023-09-30,2023-12-30,223203,203639,19564,Approved,16,Tax Agent,6,5,Real Estate
CLM00010252,TPIN1000000252,2024-07-05,2024-03-31,2024-06-29,6852,6260,592,Approved,21,Tax Agent,13,8,Hospitality
CLM00010253,TPIN1000000253,2024-09-30,2024-06-30,2024-09-29,33214,38269,0,Pending,68,Tax Agent,14,7,Hospitality
CLM00010254,TPIN1000000254,2024-09-21,2024-05-31,2024-08-30,26687,24685,2003,Under Review,22,Tax Agent,12,4,Construction
CLM00010255,TPIN1000000255,2024-12-16,2024-08-31,2024-11-29,15991,14908,1084,Pending,19,Tax Agent,11,2,Real Estate
CLM00010256,TPIN1000000256,2024-07-07,2024-03-31,2024-06-29,2555,2624,0,Under Review,61,Tax Agent,10,0,Hospitality
CLM00010257,TPIN1000000257,2024-03-05,2023-11-30,2024-02-28,159789,140025,19764,Pending,80,Taxpayer,7,1,Healthcare
CLM00010258,TPIN1000000258,2024-07-14,2024-03-31,2024-06-29,38588,32923,5666,Under Review,36,Tax Agent,14,7,Transport
CLM00010259,TPIN1000000259,2024-11-16,2024-07-31,2024-10-30,23642,25559,0,Approved,4,Tax Agent,8,7,Agriculture
CLM00010260,TPIN1000000260,2024-05-30,2024-01-31,2024-04-29,5333,4915,418,Approved,82,Taxpayer,15,2,Agriculture
CLM00010261,TPIN1000000261,2024-08-25,2024-04-30,2024-07-30,38885,33287,5597,Under Review,63,Taxpayer,14,1,Wholesale
CLM00010262,TPIN1000000262,2024-01-02,2023-09-30,2023-12-30,21641,20584,1057,Approved,59,Taxpayer,19,0,Mining
CLM00010263,TPIN1000000263,2024-02-17,2023-10-31,2024-01-30,9070,9041,29,Pending,9,Tax Agent,7,2,Mining
CLM00010264,TPIN1000000264,2024-07-21,2024-03-31,2024-06-29,32601,35900,0,Query Raised,59,Tax Agent,11,6,Construction
CLM00010265,TPIN1000000265,2024-03-31,2023-12-31,2024-03-30,113852,110633,3220,Pending,4,Tax Agent,14,6,Education
CLM00010266,TPIN1000000266,2024-06-22,2024-02-29,2024-05-30,188829,200931,0,Approved,16,Tax Agent,11,1,Transport
CLM00010267,TPIN1000000267,2024-11-23,2024-07-31,2024-10-30,124860,132830,0,Pending,52,Tax Agent,11,3,Wholesale
CLM00010268,TPIN1000000268,2024-09-18,2024-05-31,2024-08-30,12504,11503,1000,Query Raised,39,Tax Agent,16,8,Hospitality
CLM00010269,TPIN1000000269,2024-05-30,2024-01-31,2024-04-29,38956,37249,1707,Pending,57,Tax Agent,12,5,Import/Export
CLM00010270,TPIN1000000270,2024-04-30,2024-01-31,2024-04-29,121260,120741,519,Approved,28,Taxpayer,14,5,Construction
CLM00010271,TPIN1000000271,2024-05-05,2024-01-31,2024-04-29,191746,183907,7839,Query Raised,72,Taxpayer,16,8,Construction
CLM00010272,TPIN1000000272,2024-04-30,2024-01-31,2024-04-29,140886,119693,21193,Query Raised,15,Taxpayer,5,3,Retail
CLM00010273,TPIN1000000273,2024-08-15,2024-04-30,2024-07-30,1114,1347,0,Query Raised,12,Tax Agent,12,7,Real Estate
CLM00010274,TPIN1000000274,2024-06-26,2024-02-29,2024-05-30,44697,45378,0,Under Review,82,Taxpayer,7,6,Education
CLM00010275,TPIN1000000275,2024-08-09,2024-04-30,2024-07-30,104825,121866,0,Approved,63,Tax Agent,19,0,Retail
CLM00010276,TPIN1000000276,2024-03-11,2023-11-30,2024-02-28,63283,66068,0,Pending,74,Taxpayer,11,3,Construction
CLM00010277,TPIN1000000277,2024-06-12,2024-02-29,2024-05-30,109680,102611,7068,Approved,81,Taxpayer,5,5,Import/Export
CLM00010278,TPIN1000000278,2024-04-10,2023-12-31,2024-03-30,172029,166284,5745,Query Raised,88,Tax Agent,11,8,Healthcare
CLM00010279,TPIN1000000279,2024-12-04,2024-08-31,2024-11-29,67021,60217,6804,Query Raised,5,Tax Agent,10,9,Healthcare
CLM00010280,TPIN1000000280,2024-09-13,2024-05-31,2024-08-30,44356,37381,6975,Query Raised,56,Tax Agent,7,9,Wholesale
CLM00010281,TPIN1000000281,2024-10-23,2024-06-30,2024-09-29,77531,64707,12824,Pending,79,Tax Agent,16,3,Professional Services
CLM00010282,TPIN1000000282,2024-03-10,2023-11-30,2024-02-28,27525,26156,1369,Approved,7,Taxpayer,9,7,Import/Export
CLM00010283,TPIN1000000283,2024-02-12,2023-10-31,2024-01-30,55877,56468,0,Pending,10,Tax Agent,10,2,Construction
CLM00010284,TPIN1000000284,2024-08-17,2024-04-30,2024-07-30,108952,91886,17066,Pending,3,Tax Agent,13,2,ICT
CLM00010285,TPIN1000000285,2024-10-18,2024-06-30,2024-09-29,86346,103657,0,Pending,26,Tax Agent,11,4,Transport
CLM00010286,TPIN1000000286,2024-12-08,2024-08-31,2024-11-29,40346,35994,4352,Under Review,2,Taxpayer,8,4,Healthcare
CLM00010287,TPIN1000000287,2024-10-21,2024-06-30,2024-09-29,16474,14723,1751,Query Raised,87,Tax Agent,15,3,Hospitality
CLM00010288,TPIN1000000288,2024-07-07,2024-03-31,2024-06-29,117415,108788,8627,Under Review,79,Tax Agent,7,1,Education
CLM00010289,TPIN1000000289,2024-04-02,2023-12-31,2024-03-30,136381,125323,11057,Under Review,90,Tax Agent,19,4,Transport
CLM00010290,TPIN1000000290,2024-12-24,2024-08-31,2024-11-29,89152,86491,2662,Pending,41,Tax Agent,16,7,Education
CLM00010291,TPIN1000000291,2024-11-29,2024-07-31,2024-10-30,149416,139460,9956,Under Review,53,Tax Agent,19,4,Transport
CLM00010292,TPIN1000000292,2024-06-24,2024-02-29,2024-05-30,48779,42272,6507,Under Review,78,Tax Agent,17,2,Hospitality
CLM00010293,TPIN1000000293,2024-06-06,2024-02-29,2024-05-30,31414,35661,0,Query Raised,7,Tax Agent,11,7,Retail
CLM00010294,TPIN1000000294,2024-03-16,2023-11-30,2024-02-28,40913,48487,0,Query Raised,78,Tax Agent,9,9,Construction
CLM00010295,TPIN1000000295,2024-10-13,2024-06-30,2024-09-29,206038,184853,21185,Approved,39,Taxpayer,14,1,Import/Export
CLM00010296,TPIN1000000296,2024-03-26,2023-11-30,2024-02-28,9269,7733,1537,Query Raised,13,Tax Agent,8,5,Import/Export
CLM00010297,TPIN1000000297,2024-12-25,2024-08-31,2024-11-29,124893,127902,0,Query Raised,12,Tax Agent,16,1,Real Estate
CLM00010298,TPIN1000000298,2024-11-04,2024-07-31,2024-10-30,64679,77813,0,Query Raised,34,Taxpayer,13,7,Mining
CLM00010299,TPIN1000000299,2024-01-07,2023-09-30,2023-12-30,44076,37430,6646,Approved,44,Tax Agent,18,5,Wholesale
CLM00010300,TPIN1000000300,2024-01-03,2023-09-30,2023-12-30,107356,97425,9931,Pending,17,Tax Agent,7,2,Agriculture
CLM00010301,TPIN1000000301,2024-01-13,2023-09-30,2023-12-30,98091,104937,0,Pending,54,Tax Agent,7,4,Professional Services
CLM00010302,TPIN1000000302,2024-10-20,2024-06-30,2024-09-29,110998,100331,10667,Pending,15,Tax Agent,7,3,Import/Export
CLM00010303,TPIN1000000303,2024-03-11,2023-11-30,2024-02-28,100100,84649,15451,Pending,11,Tax Agent,9,7,Education
CLM00010304,TPIN1000000304,2024-04-23,2023-12-31,2024-03-30,30896,27798,3098,Pending,64,Taxpayer,18,3,Wholesale
CLM00010305,TPIN1000000305,2024-09-20,2024-05-31,2024-08-30,18742,16764,1978,Under Review,22,Tax Agent,8,9,Hospitality
CLM00010306,TPIN1000000306,2024-09-06,2024-05-31,2024-08-30,28434,26773,1661,Approved,64,Taxpayer,5,9,Real Estate
CLM00010307,TPIN1000000307,2024-12-16,2024-08-31,2024-11-29,83469,84535,0,Query Raised,11,Tax Agent,10,6,Wholesale
CLM00010308,TPIN1000000308,2024-01-19,2023-09-30,2023-12-30,30799,28715,2085,Query Raised,14,Tax Agent,8,9,Education
CLM00010309,TPIN1000000309,2024-05-02,2024-01-31,2024-04-29,43664,51464,0,Approved,78,Tax Agent,15,2,Agriculture
CLM00010310,TPIN1000000310,2024-01-10,2023-09-30,2023-12-30,118860,99721,19139,Approved,3,Tax Agent,16,2,Manufacturing
CLM00010311,TPIN1000000311,2024-07-18,2024-03-31,2024-06-29,45007,44837,170,Under Review,9,Tax Agent,14,3,Agriculture
CLM00010312,TPIN1000000312,2024-03-02,2023-11-30,2024-02-28,49591,47530,2061,Query Raised,11,Taxpayer,16,6,Education
CLM00010313,TPIN1000000313,2024-05-11,2024-01-31,2024-04-29,14103,14445,0,Under Review,9,Tax Agent,6,4,Education
CLM00010314,TPIN1000000314,2024-04-15,2023-12-31,2024-03-30,112709,115464,0,Pending,75,Tax Agent,18,6,Agriculture
CLM00010315,TPIN1000000315,2024-11-11,2024-07-31,2024-10-30,65431,72605,0,Approved,51,Taxpayer,10,2,Agriculture
CLM00010316,TPIN1000000316,2024-02-05,2023-10-31,2024-01-30,7345,6239,1106,Under Review,29,Tax Agent,10,7,Professional Services
CLM00010317,TPIN1000000317,2024-04-30,2024-01-31,2024-04-29,40070,42323,0,Approved,65,Tax Agent,13,0,Hospitality
CLM00010318,TPIN1000000318,2024-08-09,2024-04-30,2024-07-30,80543,99969,0,Approved,17,Tax Agent,15,2,Retail
CLM00010319,TPIN1000000319,2024-03-06,2023-11-30,2024-02-28,112992,133506,0,Query Raised,78,Tax Agent,11,6,Hospitality
CLM00010320,TPIN1000000320,2024-05-30,2024-01-31,2024-04-29,820,750,69,Approved,22,Tax Agent,11,0,Construction
CLM00010321,TPIN1000000321,2024-05-25,2024-01-31,2024-04-29,65250,81161,0,Approved,27,Tax Agent,8,6,Construction
CLM00010322,TPIN1000000322,2024-10-04,2024-06-30,2024-09-29,20137,24949,0,Query Raised,82,Taxpayer,16,0,Construction
CLM00010323,TPIN1000000323,2024-05-03,2024-01-31,2024-04-29,23285,21938,1347,Query Raised,64,Tax Agent,5,7,Construction
CLM00010324,TPIN1000000324,2024-09-19,2024-05-31,2024-08-30,90062,83275,6788,Pending,75,Tax Agent,6,4,Transport
CLM00010325,TPIN1000000325,2024-04-02,2023-12-31,2024-03-30,32829,28343,4486,Pending,18,Taxpayer,14,0,Transport
CLM00010326,TPIN1000000326,2024-04-26,2023-12-31,2024-03-30,10244,10600,0,Pending,23,Tax Agent,10,1,Real Estate
CLM00010327,TPIN1000000327,2024-04-10,2023-12-31,2024-03-30,241711,219955,21757,Approved,75,Tax Agent,19,0,Hospitality
CLM00010328,TPIN1000000328,2024-10-25,2024-06-30,2024-09-29,26588,31379,0,Approved,84,Tax Agent,9,7,Real Estate
CLM00010329,TPIN1000000329,2024-06-26,2024-02-29,2024-05-30,124642,132227,0,Query Raised,32,Tax Agent,14,4,Construction
CLM00010330,TPIN1000000330,2024-12-03,2024-08-31,2024-11-29,28558,32702,0,Under Review,7,Taxpayer,19,2,Agriculture
CLM00010331,TPIN1000000331,2024-04-17,2023-12-31,2024-03-30,15900,17565,0,Under Review,14,Taxpayer,8,6,Healthcare
CLM00010332,TPIN1000000332,2024-11-04,2024-07-31,2024-10-30,29058,30598,0,Pending,60,Tax Agent,5,6,Construction
CLM00010333,TPIN1000000333,2024-10-20,2024-06-30,2024-09-29,60417,71508,0,Approved,20,Tax Agent,16,4,Agriculture
CLM00010334,TPIN1000000334,2024-04-13,2023-12-31,2024-03-30,3055,3636,0,Query Raised,20,Taxpayer,10,7,Healthcare
CLM00010335,TPIN1000000335,2024-09-11,2024-05-31,2024-08-30,111198,102246,8953,Under Review,86,Tax Agent,12,1,Real Estate
CLM00010336,TPIN1000000336,2024-06-30,2024-03-31,2024-06-29,80044,97450,0,Pending,77,Tax Agent,15,0,Hospitality
CLM00010337,TPIN1000000337,2024-06-19,2024-02-29,2024-05-30,34696,33553,1143,Approved,33,Tax Agent,18,9,Construction
CLM00010338,TPIN1000000338,2024-12-09,2024-08-31,2024-11-29,31834,33421,0,Approved,61,Tax Agent,15,5,Real Estate
CLM00010339,TPIN1000000339,2024-09-29,2024-05-31,2024-08-30,458,571,0,Query Raised,23,Taxpayer,6,2,Import/Export
CLM00010340,TPIN1000000340,2024-01-05,2023-09-30,2023-12-30,36369,43217,0,Pending,82,Tax Agent,17,5,Real Estate
CLM00010341,TPIN1000000341,2024-09-10,2024-05-31,2024-08-30,4727,4564,163,Approved,74,Tax Agent,13,2,Professional Services
CLM00010342,TPIN1000000342,2024-01-13,2023-09-30,2023-12-30,19927,20565,0,Query Raised,60,Tax Agent,16,0,Retail
CLM00010343,TPIN1000000343,2024-03-19,2023-11-30,2024-02-28,46255,54189,0,Approved,30,Tax Agent,14,9,Professional Services
CLM00010344,TPIN1000000344,2024-11-20,2024-07-31,2024-10-30,85790,77988,7802,Pending,27,Tax Agent,12,5,Retail
CLM00010345,TPIN1000000345,2024-11-16,2024-07-31,2024-10-30,25174,27525,0,Approved,32,Tax Agent,17,8,Real Estate
CLM00010346,TPIN1000000346,2024-09-24,2024-05-31,2024-08-30,9971,8862,1110,Approved,44,Tax Agent,15,5,ICT
CLM00010347,TPIN1000000347,2024-10-26,2024-06-30,2024-09-29,164043,194335,0,Pending,54,Tax Agent,14,6,ICT
CLM00010348,TPIN1000000348,2024-12-26,2024-08-31,2024-11-29,72715,63305,9410,Query Raised,28,Taxpayer,18,0,Mining
CLM00010349,TPIN1000000349,2024-11-15,2024-07-31,2024-10-30,132645,159641,0,Query Raised,16,Tax Agent,16,5,Healthcare
CLM00010350,TPIN1000000350,2024-07-07,2024-03-31,2024-06-29,95444,92725,2719,Approved,71,Tax Agent,13,6,Construction
CLM00010351,TPIN1000000351,2024-11-11,2024-07-31,2024-10-30,106524,119161,0,Query Raised,39,Tax Agent,12,5,Wholesale
CLM00010352,TPIN1000000352,2024-08-31,2024-05-31,2024-08-30,4999,4876,123,Query Raised,16,Tax Agent,11,1,Agriculture
CLM00010353,TPIN1000000353,2024-03-01,2023-11-30,2024-02-28,55108,47320,7788,Query Raised,21,Taxpayer,9,7,Construction
CLM00010354,TPIN1000000354,2024-04-01,2023-12-31,2024-03-30,12909,15471,0,Query Raised,13,Tax Agent,11,7,Import/Export
CLM00010355,TPIN1000000355,2024-04-30,2024-01-31,2024-04-29,66243,55918,10325,Approved,43,Tax Agent,5,1,Real Estate
CLM00010356,TPIN1000000356,2024-11-08,2024-07-31,2024-10-30,22984,24475,0,Approved,69,Tax Agent,18,0,Retail
CLM00010357,TPIN1000000357,2024-09-22,2024-05-31,2024-08-30,11921,14791,0,Pending,42,Tax Agent,12,1,Hospitality
CLM00010358,TPIN1000000358,2024-05-12,2024-01-31,2024-04-29,142284,176569,0,Approved,25,Tax Agent,16,0,Education
CLM00010359,TPIN1000000359,2024-11-11,2024-07-31,2024-10-30,284,252,32,Pending,11,Tax Agent,8,4,Import/Export
CLM00010360,TPIN1000000360,2024-08-09,2024-04-30,2024-07-30,126292,126506,0,Under Review,90,Tax Agent,12,3,Wholesale
CLM00010361,TPIN1000000361,2024-03-12,2023-11-30,2024-02-28,37516,44614,0,Approved,1,Tax Agent,10,7,Hospitality
CLM00010362,TPIN1000000362,2024-06-09,2024-02-29,2024-05-30,51417,46833,4584,Pending,5,Tax Agent,8,1,ICT
CLM00010363,TPIN1000000363,2024-03-10,2023-11-30,2024-02-28,150779,128224,22555,Approved,28,Taxpayer,14,5,Transport
CLM00010364,TPIN1000000364,2024-10-04,2024-06-30,2024-09-29,67672,73019,0,Approved,63,Taxpayer,11,0,ICT
CLM00010365,TPIN1000000365,2024-04-21,2023-12-31,2024-03-30,3600,3635,0,Query Raised,34,Taxpayer,10,6,Healthcare
CLM00010366,TPIN1000000366,2024-04-09,2023-12-31,2024-03-30,52599,60954,0,Approved,42,Tax Agent,19,9,Healthcare
CLM00010367,TPIN1000000367,2024-10-14,2024-06-30,2024-09-29,3211,3858,0,Approved,28,Tax Agent,14,8,Manufacturing
CLM00010368,TPIN1000000368,2024-08-05,2024-04-30,2024-07-30,156629,139821,16808,Pending,31,Tax Agent,8,9,Hospitality
CLM00010369,TPIN1000000369,2024-06-12,2024-02-29,2024-05-30,130536,115441,15096,Pending,59,Tax Agent,13,3,Professional Services
CLM00010370,TPIN1000000370,2024-10-03,2024-06-30,2024-09-29,2379,2022,357,Approved,86,Taxpayer,7,1,Import/Export
CLM00010371,TPIN1000000371,2024-12-15,2024-08-31,2024-11-29,105133,92441,12692,Pending,30,Taxpayer,9,2,Wholesale
CLM00010372,TPIN1000000372,2024-08-18,2024-04-30,2024-07-30,69631,69075,555,Under Review,58,Tax Agent,8,4,Education
CLM00010373,TPIN1000000373,2024-12-06,2024-08-31,2024-11-29,131664,132274,0,Query Raised,50,Taxpayer,5,8,Mining
CLM00010374,TPIN1000000374,2024-08-08,2024-04-30,2024-07-30,133540,128045,5495,Query Raised,48,Tax Agent,14,3,Wholesale
CLM00010375,TPIN1000000375,2024-05-25,2024-01-31,2024-04-29,217202,182605,34597,Under Review,49,Tax Agent,7,2,Construction
CLM00010376,TPIN1000000376,2024-09-09,2024-05-31,2024-08-30,72144,69996,2148,Under Review,24,Taxpayer,9,8,Transport
CLM00010377,TPIN1000000377,2024-08-22,2024-04-30,2024-07-30,69824,64795,5030,Pending,45,Tax Agent,13,8,Construction
CLM00010378,TPIN1000000378,2024-06-10,2024-02-29,2024-05-30,32037,33324,0,Approved,16,Taxpayer,17,8,Hospitality
CLM00010379,TPIN1000000379,2024-04-30,2024-01-31,2024-04-29,204782,221187,0,Under Review,59,Tax Agent,14,3,ICT
CLM00010380,TPIN1000000380,2024-08-05,2024-04-30,2024-07-30,48958,52684,0,Query Raised,71,Taxpayer,6,8,Import/Export
CLM00010381,TPIN1000000381,2024-05-07,2024-01-31,2024-04-29,9842,8457,1385,Under Review,61,Tax Agent,18,8,Education
CLM00010382,TPIN1000000382,2024-05-02,2024-01-31,2024-04-29,23973,25733,0,Query Raised,71,Tax Agent,8,0,ICT
CLM00010383,TPIN1000000383,2024-08-12,2024-04-30,2024-07-30,33349,35871,0,Pending,13,Tax Agent,5,7,Manufacturing
CLM00010384,TPIN1000000384,2024-08-06,2024-04-30,2024-07-30,5807,6019,0,Under Review,8,Tax Agent,9,3,Wholesale
CLM00010385,TPIN1000000385,2024-05-08,2024-01-31,2024-04-29,7535,9302,0,Under Review,46,Tax Agent,12,9,ICT
CLM00010386,TPIN1000000386,2024-04-22,2023-12-31,2024-03-30,95807,107625,0,Query Raised,13,Taxpayer,13,6,Mining
CLM00010387,TPIN1000000387,2024-07-26,2024-03-31,2024-06-29,56608,51987,4621,Under Review,24,Tax Agent,14,5,Wholesale
CLM00010388,TPIN1000000388,2024-11-14,2024-07-31,2024-10-30,122423,148778,0,Under Review,75,Tax Agent,5,0,Transport
CLM00010389,TPIN1000000389,2024-03-15,2023-11-30,2024-02-28,1813,1941,0,Query Raised,27,Taxpayer,8,8,ICT
CLM00010390,TPIN1000000390,2024-08-01,2024-04-30,2024-07-30,128316,110785,17531,Query Raised,68,Tax Agent,7,7,Transport
CLM00010391,TPIN1000000391,2024-04-15,2023-12-31,2024-03-30,89154,100920,0,Approved,53,Tax Agent,9,5,Transport
CLM00010392,TPIN1000000392,2024-11-16,2024-07-31,2024-10-30,37287,41141,0,Approved,7,Tax Agent,6,9,Healthcare
CLM00010393,TPIN1000000393,2024-03-14,2023-11-30,2024-02-28,134941,139559,0,Pending,29,Tax Agent,16,1,Mining
CLM00010394,TPIN1000000394,2024-05-08,2024-01-31,2024-04-29,13705,15719,0,Approved,58,Taxpayer,13,1,Mining
CLM00010395,TPIN1000000395,2024-07-10,2024-03-31,2024-06-29,26766,29405,0,Approved,2,Tax Agent,14,9,Hospitality
CLM00010396,TPIN1000000396,2024-08-03,2024-04-30,2024-07-30,108466,102832,5634,Under Review,73,Tax Agent,13,0,Professional Services
CLM00010397,TPIN1000000397,2024-06-02,2024-02-29,2024-05-30,92690,97660,0,Query Raised,30,Taxpayer,9,1,Import/Export
CLM00010398,TPIN1000000398,2024-12-11,2024-08-31,2024-11-29,28829,27208,1621,Approved,9,Taxpayer,6,5,Education
CLM00010399,TPIN1000000399,2024-07-07,2024-03-31,2024-06-29,15625,18237,0,Under Review,88,Tax Agent,5,8,ICT
CLM00010400,TPIN1000000400,2024-11-21,2024-07-31,2024-10-30,8128,9706,0,Approved,8,Tax Agent,19,1,Healthcare
CLM00010401,TPIN1000000401,2024-12-04,2024-08-31,2024-11-29,18369,18673,0,Approved,51,Taxpayer,19,0,Manufacturing
CLM00010402,TPIN1000000402,2024-07-02,2024-03-31,2024-06-29,169400,157928,11472,Under Review,49,Tax Agent,17,5,Healthcare
CLM00010403,TPIN1000000403,2024-01-10,2023-09-30,2023-12-30,23594,20140,3454,Pending,71,Tax Agent,7,2,Real Estate
